-5.00000000e+00  8.83257100e-05 -5.00000000e+00  2.02946623e-05 -5.00000000e+00 -1.84115164e-05 -5.00000000e+00 -1.74923901e-06 
-4.00000000e+00  8.82321128e-05 -4.00000000e+00  2.02557552e-05 -4.00000000e+00 -1.84020209e-05 -4.00000000e+00 -1.76192046e-06 
-3.00000000e+00  8.81378649e-05 -3.00000000e+00  2.02171927e-05 -3.00000000e+00 -1.83928235e-05 -3.00000000e+00 -1.77466821e-06 
-2.00000000e+00  8.80429812e-05 -2.00000000e+00  2.01789748e-05 -2.00000000e+00 -1.83839220e-05 -2.00000000e+00 -1.78748226e-06 
-1.00000000e+00  8.79474765e-05 -1.00000000e+00  2.01411015e-05 -1.00000000e+00 -1.83753144e-05 -1.00000000e+00 -1.80036263e-06 
 0.00000000e+00  8.78513654e-05  0.00000000e+00  2.01035727e-05  0.00000000e+00 -1.83669987e-05  0.00000000e+00 -1.81330932e-06 
 1.00000000e+00  8.77546624e-05  1.00000000e+00  2.00663881e-05  1.00000000e+00 -1.83589727e-05  1.00000000e+00 -1.82632233e-06 
 2.00000000e+00  8.76573818e-05  2.00000000e+00  2.00295475e-05  2.00000000e+00 -1.83512344e-05  2.00000000e+00 -1.83940169e-06 
 3.00000000e+00  8.75595377e-05  3.00000000e+00  1.99930506e-05  3.00000000e+00 -1.83437818e-05  3.00000000e+00 -1.85254738e-06 
 4.00000000e+00  8.74611442e-05  4.00000000e+00  1.99568970e-05  4.00000000e+00 -1.83366129e-05  4.00000000e+00 -1.86575941e-06 
 5.00000000e+00  8.73622151e-05  5.00000000e+00  1.99210864e-05  5.00000000e+00 -1.83297257e-05  5.00000000e+00 -1.87903778e-06 
 6.00000000e+00  8.72627641e-05  6.00000000e+00  1.98856182e-05  6.00000000e+00 -1.83231181e-05  6.00000000e+00 -1.89238249e-06 
 7.00000000e+00  8.71628049e-05  7.00000000e+00  1.98504920e-05  7.00000000e+00 -1.83167882e-05  7.00000000e+00 -1.90579354e-06 
 8.00000000e+00  8.70623509e-05  8.00000000e+00  1.98157071e-05  8.00000000e+00 -1.83107340e-05  8.00000000e+00 -1.91927092e-06 
 9.00000000e+00  8.69614154e-05  9.00000000e+00  1.97812630e-05  9.00000000e+00 -1.83049536e-05  9.00000000e+00 -1.93281463e-06 
 1.00000000e+01  8.68600115e-05  1.00000000e+01  1.97471589e-05  1.00000000e+01 -1.82994450e-05  1.00000000e+01 -1.94642467e-06 
 1.10000000e+01  8.67581523e-05  1.10000000e+01  1.97133942e-05  1.10000000e+01 -1.82942062e-05  1.10000000e+01 -1.96010102e-06 
 1.20000000e+01  8.66558505e-05  1.20000000e+01  1.96799681e-05  1.20000000e+01 -1.82892355e-05  1.20000000e+01 -1.97384368e-06 
 1.30000000e+01  8.65531189e-05  1.30000000e+01  1.96468798e-05  1.30000000e+01 -1.82845309e-05  1.30000000e+01 -1.98765263e-06 
 1.40000000e+01  8.64499701e-05  1.40000000e+01  1.96141285e-05  1.40000000e+01 -1.82800905e-05  1.40000000e+01 -2.00152786e-06 
 1.50000000e+01  8.63464165e-05  1.50000000e+01  1.95817133e-05  1.50000000e+01 -1.82759125e-05  1.50000000e+01 -2.01546936e-06 
 1.60000000e+01  8.62424704e-05  1.60000000e+01  1.95496332e-05  1.60000000e+01 -1.82719950e-05  1.60000000e+01 -2.02947712e-06 
 1.70000000e+01  8.61381440e-05  1.70000000e+01  1.95178874e-05  1.70000000e+01 -1.82683362e-05  1.70000000e+01 -2.04355111e-06 
 1.80000000e+01  8.60334492e-05  1.80000000e+01  1.94864748e-05  1.80000000e+01 -1.82649342e-05  1.80000000e+01 -2.05769132e-06 
